# BJD       ,   rvs,   rvs_sigma,    idset,    o_c,    model_rvs,  model pl_1,    model pl_2,    
2452984.709,     9.301,     0.714,     1.000,     2.328,     6.974,     6.466,     0.508
2452999.808,    -0.946,     0.986,     1.000,    -1.483,     0.536,     4.999,    -4.463
2453002.712,    -1.273,     0.791,     1.000,    -0.518,    -0.755,     4.635,    -5.391
2453036.629,   -16.539,     0.896,     1.000,    -1.285,   -15.254,    -0.797,   -14.457
2453046.577,   -13.602,     0.910,     1.000,     5.143,   -18.745,    -2.540,   -16.205
2453049.584,   -15.118,     0.746,     1.000,     4.566,   -19.685,    -3.054,   -16.631
2453051.657,   -18.653,     0.889,     1.000,     1.644,   -20.297,    -3.402,   -16.896
2453055.687,   -17.786,     0.844,     1.000,     3.614,   -21.400,    -4.059,   -17.341
2453060.620,   -24.995,     1.010,     1.000,    -2.416,   -22.579,    -4.820,   -17.760
2453335.822,    -7.116,     0.941,     1.000,     1.344,    -8.460,    -6.676,    -1.784
2453337.824,   -10.807,     0.952,     1.000,    -1.931,    -8.877,    -6.435,    -2.442
2453339.798,    -9.378,     0.957,     1.000,    -0.119,    -9.259,    -6.172,    -3.087
2453342.752,    -7.784,     1.050,     1.000,     1.993,    -9.777,    -5.733,    -4.044
2453377.741,   -12.315,     0.739,     1.000,    -0.266,   -12.049,     1.700,   -13.749
2453412.612,   -11.392,     0.840,     1.000,     0.030,   -11.422,     6.658,   -18.081
2453467.510,    -5.721,     1.050,     1.000,     2.045,    -7.765,     3.231,   -10.997
2453674.807,     4.413,     0.920,     1.000,    -1.311,     5.724,     5.733,    -0.008
2453695.730,    -5.667,     0.998,     1.000,    -1.967,    -3.699,     3.043,    -6.743
2453759.603,   -25.731,     0.950,     1.000,    -0.631,   -25.100,    -6.991,   -18.109
2453761.618,   -27.413,     0.970,     1.000,    -2.144,   -25.268,    -7.149,   -18.119
2453764.651,   -27.393,     0.910,     1.000,    -1.959,   -25.434,    -7.346,   -18.088
2453782.661,   -23.796,     0.695,     1.000,     0.315,   -24.111,    -7.321,   -16.791
2453787.637,   -20.134,     0.855,     1.000,     2.896,   -23.030,    -6.923,   -16.107
2453809.555,   -12.333,     0.787,     1.000,     2.667,   -15.001,    -3.390,   -11.611
2453811.586,   -12.486,     0.809,     1.000,     1.557,   -14.043,    -2.956,   -11.087
2453814.578,   -13.054,     0.938,     1.000,    -0.468,   -12.586,    -2.301,   -10.285
2453815.491,   -11.622,     0.939,     1.000,     0.510,   -12.132,    -2.097,   -10.035
2453817.606,   -10.331,     0.984,     1.000,     0.734,   -11.065,    -1.623,    -9.443
2453833.561,    -1.821,     0.949,     1.000,     0.840,    -2.661,     1.907,    -4.568
2453861.474,    13.721,     0.967,     1.000,     2.855,    10.865,     6.163,     4.702
2453863.474,    10.649,     0.898,     1.000,    -1.030,    11.679,     6.327,     5.352
2453865.467,    12.500,     0.928,     1.000,     0.037,    12.463,     6.471,     5.992
2453868.466,    13.516,     0.965,     1.000,    -0.073,    13.589,     6.650,     6.939
2454077.780,   -11.788,     0.824,     1.000,    -0.861,   -10.927,     4.911,   -15.838
2454079.719,   -12.408,     0.852,     1.000,    -1.447,   -10.961,     5.173,   -16.134
2454081.752,   -13.966,     1.006,     1.000,    -2.971,   -10.995,     5.429,   -16.423
2454115.654,    -8.771,     1.183,     1.000,     2.313,   -11.084,     6.727,   -17.812
2454136.626,   -11.338,     0.668,     1.000,    -1.049,   -10.289,     5.049,   -15.338
2454167.560,    -8.148,     0.761,     1.000,    -0.694,    -7.454,     0.321,    -7.775
2454171.564,    -5.787,     0.792,     1.000,     1.159,    -6.946,    -0.399,    -6.548
2454196.513,    -3.922,     0.957,     1.000,    -0.827,    -3.095,    -4.769,     1.674
2454202.547,    -1.534,     0.967,     1.000,     0.440,    -1.974,    -5.662,     3.688
2454225.527,     2.988,     1.222,     1.000,    -0.163,     3.151,    -7.609,    10.760
2454233.471,     5.584,     1.674,     1.000,     0.307,     5.276,    -7.545,    12.822
2454314.931,    19.421,     1.048,     1.000,    -0.616,    20.038,     6.049,    13.989
2454319.918,    21.547,     1.028,     1.000,     2.241,    19.306,     6.453,    12.854
2454343.915,    12.969,     0.997,     1.000,     0.120,    12.850,     6.705,     6.145
2454345.900,    11.630,     0.862,     1.000,    -0.502,    12.132,     6.609,     5.523
2454347.899,    11.327,     1.319,     1.000,    -0.059,    11.386,     6.497,     4.889
2454349.888,    11.423,     0.978,     1.000,     0.800,    10.623,     6.369,     4.254
2454385.805,    -5.344,     0.956,     1.000,     0.050,    -5.394,     1.877,    -7.271
2454386.775,    -6.283,     0.849,     1.000,    -0.437,    -5.846,     1.713,    -7.559
2454392.827,    -8.716,     0.970,     1.000,    -0.073,    -8.642,     0.660,    -9.302
2454452.751,   -27.629,     0.817,     1.000,    -1.957,   -25.672,    -7.608,   -18.063
2454484.662,   -19.818,     0.943,     1.000,    -0.403,   -19.415,    -4.784,   -14.632
2454486.601,   -18.692,     1.020,     1.000,    -0.024,   -18.668,    -4.423,   -14.245
2454523.627,    -3.007,     0.850,     1.000,    -2.297,    -0.710,     3.282,    -3.992
2454567.481,    18.537,     0.644,     1.000,     1.411,    17.126,     6.853,    10.273
2455103.868,   -22.244,     0.999,     1.000,    -3.214,   -19.030,    -4.285,   -14.746
2455167.005,   -21.838,     1.100,     3.000,    -1.223,   -20.616,    -4.958,   -15.658
2455201.024,    -9.318,     1.040,     3.000,    -3.998,    -5.320,     1.986,    -7.306
2455257.889,    20.392,     1.060,     3.000,     2.550,    17.841,     6.672,    11.170
2455279.530,    21.702,     0.986,     1.000,     0.873,    20.829,     4.798,    16.031
2455294.540,    21.996,     0.965,     1.000,     1.518,    20.478,     2.583,    17.895
2455486.869,    -9.897,     0.730,     1.000,     1.501,   -11.398,     6.621,   -18.019
2455639.584,    16.557,     0.807,     1.000,     0.251,    16.306,    -1.698,    18.004
2455641.587,    16.998,     0.766,     1.000,     0.137,    16.861,    -1.269,    18.130
