target;BJD;RV_mlc_nzp;e_RV_mlc_nzp;RV_drs_nzp;e_RV_drs_nzp;RV_mlc;e_RV_mlc;RV_drs;e_RV_drs;RV_mlc_j;e_RV_mlc_j;CRX;e_CRX;dLW;e_dLW;Halpha;e_Halpha;NaD1;e_NaD1;NaD2;e_NaD2;f_RV;FWHM_DRS;CONTRAST_DRS;BIS;RVGUESS;SNR_DRS;BJD_DRS;BERV;BERV_DRS;DRIFT;e_DRIFT;SA;NZP_mlc;dNZP_mlc;NZP_drs;dNZP_drs;TMMEAN;EXPTIME;MLCRX;E_MLCRX;TIMEID;DRIFT_LAMP;MASK;PROGID;PROGPI;AIRMASS;OBHAB;THAR_FP;DPR_TYPE
HD45364;2453337.82459;-10.917;0.967;16455.183;1.068;14.3790535904;0.414808003284;16454.8843563;0.368108966231;14.3790535904;0.414808003284;7.769251559758612;4.268819165629237;-11.0886120014;1.2113879103;0.44635022808474506;0.0004290388400994421;0.2754452095538804;0.0005430373403018225;0.371965990075715;0.0007038047254860078;0;6.14118673754;36.3276978571;-0.00260089570966;16.3;172.5;2453337.82384;9.30346407924;9.29886836328;0.168;-9999999;0.002;-0.849;0.873;-0.301;-9999999;0.52;875.4828;7.75637460384;4.33639953904;2004-11-28T07:34:47.089;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453339.79921;-9.482;0.972;16456.319;1.071;15.8963230165;0.42631598227;16456.0525043;0.3768105459;15.8963230165;0.42631598227;10.402137236693932;4.368573627065183;-14.5436044419;1.31460568383;0.44686783204343045;0.0004500414420780679;0.27481847307651047;0.0005640236888349529;0.3816883427656489;0.0007336110582219291;0;6.13491662578;36.3425713338;-0.000130388373226;16.3;166.1;2453339.79846;8.83979420935;8.83520088618;0.383;-9999999;0.002;-0.768;0.873;-0.268;-9999999;0.51;875.4825;10.3852989868;4.44958554751;2004-11-30T06:58:17.917;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453342.7532;-7.875;1.063;16457.838;1.124;17.5368432396;0.606955194361;16457.6500921;0.50854202505;17.5368432396;0.606955194361;5.558198604518975;5.171221263055122;-6.64587518488;1.23764927278;0.44524870631991814;0.000621727393557982;0.27599088139868655;0.0007912142193566739;0.38060312809595614;0.0010229163202825993;0;6.13568717224;36.3033529576;-0.0014307031553;16.3;119.7;2453342.75246;8.1438236457;8.13921960855;0.084;-9999999;0.002;-0.733;0.873;-0.190;-9999999;0.48;899.9825;5.52916317078;5.23922484179;2004-12-03T05:52:10.368;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453377.74162;-12.398;0.769;16454.122;0.992;12.8334273935;0.40124783488;16453.4921616;0.336270720435;12.8334273935;0.40124783488;6.562059572240855;3.340671795831961;-8.04450058836;0.963388616321;0.44557742193121014;0.00039429273628904945;0.2695996556795429;0.0004996522201994235;0.3661654407338501;0.0006490086494018696;0;6.13766716774;36.3103808447;-0.00163024806916;16.3;186.6;2453377.74088;-2.38874011409;-2.39334107432;0.491;-9999999;0.002;-0.914;0.656;-0.632;-9999999;0.51;899.976;6.53394938992;3.44000460329;2005-01-07T05:34:32.341;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453412.61261;-11.661;0.836;16455.678;0.883;14.4198093358;0.52488613487;16455.2047631;0.441471924578;14.4198093358;0.52488613487;6.758565611915069;4.6260244121429475;-9.968273416;1.28616663115;0.44399183078912713;0.0005381591548783533;0.28011803220107195;0.0006797267872296132;0.37333437315939766;0.0008882728464135795;0;6.1350144784;36.3196350275;-0.00198411629007;16.3;138.3;2453412.61187;-11.8113118188;-11.815945425;0.18;-9999999;0.003;-0.064;0.651;-0.476;-9999999;0.5;875.5007;6.76742182771;4.68923149131;2005-02-11T02:30:19.610;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453467.51115;-5.955;1.063;16461.906;1.125;19.0391994535;0.607019561448;16460.6646287;0.510152925208;19.0391994535;0.607019561448;-7.681934193757268;5.23553943658366;0.0782481995562;0.920433390073;0.44343267185881863;0.0006010291290672656;0.282408614480601;0.0007742435810783881;0.3686799738314082;0.001000801505673464;0;6.14355099299;36.2644691951;0.00124475391262;16.3;121.9;2453467.5104;-17.2490683266;-17.253762229;0.329;-9999999;0.003;-1.151;0.873;-1.244;-9999999;0.53;900.0012;-7.68651675125;5.29061867461;2005-04-07T00:07:40.760;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453674.80758;4.267;0.935;16470.938;1.038;30.225254175;0.334593916643;16471.1830462;0.270444082627;30.225254175;0.334593916643;7.27745557952907;3.6990621300010065;-0.990600404716;0.902498069174;0.44821056275396826;0.0003409908655456561;0.27482546267593366;0.00042520981130248723;0.38269510428480125;0.0005537591866237239;0;6.13937442131;36.2813939188;-0.000614872385036;16.3;219.6;2453674.80683;15.2431951864;15.2385187613;-0.186;-9999999;0.004;-0.188;0.873;0.241;-9999999;0.51;900.0008;7.2664242487;3.84802574727;2005-10-31T07:11:55.315;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453695.72376;-4.568;1.068;16462.170;1.077;22.7409789123;0.658720545604;16462.6784444;0.527953617615;22.7409789123;0.658720545604;-0.5375940689410325;5.804955248538684;-11.4502459182;1.3495711871;0.44732053745695116;0.0006711678579408778;0.2760229907975918;0.0008451784704760282;0.3800908690574345;0.0010915824967659155;0;6.1363598194;36.3355987968;-0.00164961152883;16.3;111.9;2453695.72302;11.3492988046;11.3446647794;-0.393;-9999999;0.004;1.164;0.840;0.504;-9999999;0.51;270.0019;-0.541041177573;5.87350877229;2005-11-21T05:15:14.357;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453695.72724;-6.279;1.048;16461.499;1.064;21.0292658095;0.625849275028;16462.0001961;0.501239040307;21.0292658095;0.625849275028;3.6208711706198864;6.576921867219101;-13.3702353061;1.18148220843;0.44694892154032295;0.0006395854302839555;0.2759597718412459;0.0008034960886112516;0.3791271107280819;0.0010368232768589013;0;6.13234904941;36.3560129237;-0.00258398511985;16.3;117.6;2453695.72649;11.3417228675;11.337104809;-0.206;-9999999;0.004;1.163;0.840;0.497;-9999999;0.51;270.0026;3.61625566726;6.63333993758;2005-11-21T05:20:15.148;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
HD45364;2453695.7307;-6.109;1.035;16460.892;1.056;21.1981234012;0.604906526891;16461.3857126;0.483597369819;21.1981234012;0.604906526891;4.593299114218849;4.907081479768279;-13.0512145791;1.06942625972;0.44772362827171563;0.0006194007056710197;0.2749927937838714;0.0007743609404753989;0.379805333221665;0.0010022793106022909;0;6.13181012227;36.3509344231;-0.00136168395537;16.3;121.6;2453695.72995;11.3341220156;11.3294968684;-0.341;-9999999;0.004;1.162;0.840;0.490;-9999999;0.5;269.9989;4.5924158215;4.9879865056;2005-11-21T05:25:16.729;-9999999;K5;072.C-0488(E);Mayor;-9999999;HARPS_ech_obs_all;HARPS_ech_obs_thosimult;STAR,WAVE,K0
